Sessions: 2
cov: 0.01589265467298363	mean: 5456252.0
cov: 0.005173235647245329	mean: 4963.4
cov: 0.009010556840193681	mean: 15438.8
cov: 0.011537082980171292	mean: 13316.0
cov: 0.018481600968090223	mean: 15520.0
cov: 0.018038566914084255	mean: 15690.4
cov: 0.006686454975746661	mean: 725.0
cov: 0.019916815879971964	mean: 748.6
cov: 0.018130997566317114	mean: 734.4
cov: 0.05999135991505496	mean: 671.6
cov: 0.005562987998593003	mean: 4691.0
cov: 0.015171099314832702	mean: 4841.8
cov: 0.009223225881538009	mean: 4822.4
cov: 0.017289417185711795	mean: 4848.4
Roles: 10	Permissions: 250
cov: 0.010759642958133784	mean: 10029.2
cov: 0.0037871702846909066	mean: 9991.4
cov: 0.0042369403907455035	mean: 10152.4
cov: 0.011812684631336503	mean: 10034.0
cov: 0.019553347638908987	mean: 667.4
cov: 0.01097260230725496	mean: 682.0
cov: 0.015981925151569647	mean: 697.6
cov: 0.014540386482401527	mean: 712.4
cov: 0.008051487068972692	mean: 4926.4
cov: 0.011711490400875374	mean: 4898.0
cov: 0.019686176283222046	mean: 4832.0
cov: 0.019071276192292114	mean: 4796.0
Roles: 50	Permissions: 250
cov: 0.01019480206817575	mean: 10066.6
cov: 0.01207836627671693	mean: 10277.4
cov: 0.009220216547964406	mean: 10116.4
cov: 0.012983182594728561	mean: 10201.6
cov: 0.008239863425499419	mean: 655.8
cov: 0.01436555186074592	mean: 629.2
cov: 0.018348159801825227	mean: 695.4
cov: 0.018578691771043324	mean: 683.6
cov: 0.009747841849252706	mean: 4781.8
cov: 0.00513011577759785	mean: 4864.6
cov: 0.01470657129202907	mean: 4805.6
cov: 0.007436716989132717	mean: 4775.6
Roles: 100	Permissions: 250
cov: 0.005954568103651822	mean: 10121.4
cov: 0.00671587512167082	mean: 10216.6
cov: 0.007199651292225433	mean: 10154.4
cov: 0.0056893052363522325	mean: 10052.2
cov: 0.017136171089104802	mean: 728.4
cov: 0.01751071037358397	mean: 679.8
cov: 0.019006893480205185	mean: 695.6
cov: 0.019875166438276748	mean: 731.2
cov: 0.01698458258067649	mean: 4783.8
cov: 0.015505992101205396	mean: 4702.2
cov: 0.012349960495086488	mean: 4772.4
cov: 0.011508479873043004	mean: 4735.2
Roles: 100	Permissions: 10
cov: 0.014760672565975418	mean: 16921.2
cov: 0.010559401359643238	mean: 16973.0
cov: 0.01842359845129435	mean: 16795.2
cov: 0.007551343447874752	mean: 16868.8
cov: 0.01812233088789479	mean: 642.8
cov: 0.019249805376528623	mean: 629.2
cov: 0.03683834008972948	mean: 725.2
cov: 0.013034825765336745	mean: 624.2
cov: 0.01309006715300319	mean: 5970.8
cov: 0.00842060277474714	mean: 5958.8
cov: 0.008913437922692332	mean: 6053.8
cov: 0.015891089135274507	mean: 6004.4
Roles: 100	Permissions: 50
cov: 0.01510278275884553	mean: 6085.4
cov: 0.01977976469382893	mean: 6041.2
cov: 0.012316217729743806	mean: 6268.4
cov: 0.013752717735646541	mean: 6057.6
cov: 0.01817767027744281	mean: 643.2
cov: 0.011364199587184884	mean: 691.2
cov: 0.01980441108792992	mean: 684.0
cov: 0.01294405272246039	mean: 630.0
cov: 0.019283376307702046	mean: 5505.2
cov: 0.00986897216033195	mean: 5426.0
cov: 0.006158281093524447	mean: 5414.2
cov: 0.015648806595619853	mean: 6004.4
Roles: 100	Permissions: 100
cov: 0.007502616146921475	mean: 7544.2
cov: 0.009630742758530833	mean: 7536.6
cov: 0.009471361857140922	mean: 7672.8
cov: 0.009962154945095144	mean: 7543.4
cov: 0.01664939215087941	mean: 613.4
cov: 0.01906628954996173	mean: 590.6
cov: 0.018406587809171707	mean: 629.6
cov: 0.017732518663709194	mean: 678.6
cov: 0.018517449550505733	mean: 5397.8
cov: 0.012449674615403295	mean: 4715.4
cov: 0.016082608782877948	mean: 5377.6
cov: 0.013598370872504711	mean: 4730.4
Sessions: 2
cov: 0.017338357320693422	mean: 5462174.2
cov: 0.014067324063259995	mean: 5478849.6
cov: 0.016144893139690166	mean: 5472200.4
cov: 0.016698908126935134	mean: 5465657.0
cov: 0.07475125145500897	mean: 920.8
cov: 0.017834180764057433	mean: 790.0
cov: 0.015368224862493288	mean: 735.6
cov: 0.0991132805520376	mean: 883.2
cov: 0.017857314738449058	mean: 3260.4
cov: 0.016280726044295642	mean: 3770.2
cov: 0.01854101895089921	mean: 3712.4
cov: 0.01792127785177079	mean: 3776.4
cov: 0.019160446992881847	mean: 16312.4
cov: 0.01754670609496289	mean: 16606.2
cov: 0.017925310742778578	mean: 16510.4
cov: 0.007026876259285222	mean: 13345.0
cov: 0.030637513013836184	mean: 727.8
cov: 0.0034050853424254708	mean: 777.0
cov: 0.4859886369231843	mean: 984.0
cov: 0.03459503394799933	mean: 755.6
cov: 0.01415663693346957	mean: 4386.8
cov: 0.005206364447559525	mean: 4079.0
cov: 0.01695722566310312	mean: 4040.2
cov: 0.010527580929877298	mean: 4090.8
Sessions: 3
cov: 0.01905666448467282	mean: 35502.0
cov: 0.019574322658607084	mean: 34628.8
cov: 0.01812296188087449	mean: 34462.8
cov: 0.017753528880094707	mean: 35090.2
cov: 0.015755250551492208	mean: 675.6
cov: 0.05719896247626164	mean: 820.8
cov: 0.013628531957684053	mean: 750.8
cov: 0.07664298894943512	mean: 827.0
cov: 0.01169451604927022	mean: 4182.4
cov: 0.010617161938587624	mean: 4177.6
cov: 0.017378753766954004	mean: 4189.6
cov: 0.012246678408338502	mean: 4131.2
cov: 0.01553248715984101	mean: 13768.2
cov: 0.015067498903240675	mean: 16807.6
cov: 0.007456234027087657	mean: 16196.8
cov: 0.01740187010370724	mean: 16416.6
cov: 0.015707928058182892	mean: 765.8
cov: 0.012452477459005361	mean: 764.8
cov: 0.012338245757178054	mean: 761.6
cov: 0.017052261617664044	mean: 751.0
cov: 0.010472748245882476	mean: 4123.4
cov: 0.012163504173295132	mean: 4382.2
cov: 0.010959091739493616	mean: 4372.6
cov: 0.01242144880279187	mean: 4335.6
Sessions: 4
cov: 0.019117718863914272	mean: 33541.6
cov: 0.011516294266967536	mean: 33937.2
cov: 0.012719138061389993	mean: 33763.0
cov: 0.018621735414082814	mean: 33496.8
cov: 0.014430768415077224	mean: 709.4
cov: 0.010138280820934624	mean: 786.0
cov: 0.014147728781444094	mean: 684.2
cov: 0.018278038713190593	mean: 679.6
cov: 0.019621250802786414	mean: 4158.8
cov: 0.005682587804514608	mean: 4981.4
cov: 0.012044293680621198	mean: 4967.2
cov: 0.01165511608611213	mean: 3294.4
cov: 0.01901575812473848	mean: 16672.4
cov: 0.019734599761817028	mean: 16721.8
cov: 0.016059139062606816	mean: 15689.8
cov: 0.016936299990324394	mean: 15767.0
cov: 0.019102417737011733	mean: 699.8
cov: 0.009707778236363486	mean: 747.8
cov: 0.01771716051961162	mean: 642.8
cov: 0.014273372378156493	mean: 667.6
cov: 0.01263356164172985	mean: 4881.0
cov: 0.013063212932390047	mean: 4883.2
cov: 0.014674023793904145	mean: 4687.2
cov: 0.018747817130584085	mean: 5125.4
Sessions: 5
cov: 0.12422109368949917	mean: 303664.2
cov: 0.0190343406930073	mean: 273637.2
cov: 0.11239010901328013	mean: 298841.6
cov: 0.11859941431572991	mean: 300869.2
cov: 0.0076337362431838545	mean: 754.8
cov: 0.05744591618240422	mean: 780.4
cov: 0.01728726632737524	mean: 712.0
cov: 0.014593909588716281	mean: 707.8
cov: 0.009092731751012063	mean: 3670.2
cov: 0.030301102624844707	mean: 3804.8
cov: 0.0051710190330427645	mean: 3778.2
cov: 0.03322454952372088	mean: 3746.8
cov: 0.016944081615242308	mean: 16313.2
cov: 0.007902146406267714	mean: 17078.2
cov: 0.01356904927410484	mean: 17204.8
cov: 0.012738365825441699	mean: 17080.8
cov: 0.011200116604312084	mean: 709.8
cov: 0.019914453192777664	mean: 732.0
cov: 0.01780815522840543	mean: 670.8
cov: 0.013644929746222985	mean: 701.8
cov: 0.018423932156070466	mean: 5170.8
cov: 0.01268041178203488	mean: 5103.4
cov: 0.013092511874426787	mean: 5117.6
cov: 0.016210677608318864	mean: 5244.8
Sessions: 6
cov: 0.017831477702316908	mean: 32792.4
cov: 0.01773554354061894	mean: 32947.0
cov: 0.019776356345175716	mean: 32689.4
cov: 0.019411025460873664	mean: 32741.6
cov: 0.019301619636092143	mean: 702.2
cov: 0.01986519243105149	mean: 707.8
cov: 0.018130629420496987	mean: 680.0
cov: 0.008338012792907929	mean: 702.4
cov: 0.019999838149428205	mean: 5685.4
cov: 0.013454820226546569	mean: 5650.0
cov: 0.012804513624406466	mean: 5666.4
cov: 0.01765157288916422	mean: 5580.8
cov: 0.01996520053477775	mean: 16985.8
cov: 0.01999734910604437	mean: 16632.2
cov: 0.016656454665900176	mean: 17073.4
cov: 0.01234370135793452	mean: 16998.6
cov: 0.018421999562628955	mean: 646.4
cov: 0.01875964733639933	mean: 654.6
cov: 0.04022427575410358	mean: 649.0
cov: 0.00925908065217304	mean: 676.2
cov: 0.016958152846864263	mean: 5584.4
cov: 0.042922323029261904	mean: 5451.4
cov: 0.010687075108325414	mean: 5593.4
cov: 0.009688834862775872	mean: 5596.6
Sessions: 7
cov: 0.018857292073790378	mean: 33397.6
cov: 0.017114956460683332	mean: 33424.6
cov: 0.017447756475875088	mean: 4924.6
cov: 0.008736295112831432	mean: 4876.8
cov: 0.018205082720731347	mean: 689.8
cov: 0.012805578625166208	mean: 747.8
cov: 0.01513357565077917	mean: 586.2
cov: 0.019830388013545103	mean: 698.2
cov: 0.011425127526616593	mean: 4503.4
cov: 0.014452116927447385	mean: 4511.8
cov: 0.010992989307341655	mean: 4467.4
cov: 0.009385111971187503	mean: 4498.2
cov: 0.017363702460605968	mean: 16164.4
cov: 0.027377714032242734	mean: 13089.0
cov: 0.017580962441845698	mean: 16167.0
cov: 0.018987881931928376	mean: 16675.8
cov: 0.0194919387996104	mean: 656.0
cov: 0.014265853239450624	mean: 643.6
cov: 0.01767590123321079	mean: 667.0
cov: 0.012216221935849758	mean: 656.4
cov: 0.01801883847536391	mean: 6097.2
cov: 0.015296884365332277	mean: 6040.0
cov: 0.008544754993902892	mean: 5968.0
cov: 0.010687403857694516	mean: 6370.4
Sessions: 8
cov: 0.3625771051352965	mean: 30242.2
cov: 0.2257102566581696	mean: 28243.0
cov: 0.47929328985409597	mean: 32215.0
cov: 0.363898638506599	mean: 30393.6
cov: 0.010374357354001183	mean: 745.4
cov: 0.01258411041311747	mean: 756.8
cov: 0.0078532247288281	mean: 677.4
cov: 0.016821361763839703	mean: 710.4
cov: 0.008434546936392055	mean: 5585.8
cov: 0.014326582729625673	mean: 5506.4
cov: 0.013951874118635847	mean: 5554.0
cov: 0.012578281255096822	mean: 5566.0
cov: 0.008011247166699029	mean: 16201.0
cov: 0.01779280198171035	mean: 16347.8
cov: 0.017345829094214525	mean: 16160.4
cov: 0.018070781783479074	mean: 16403.6
cov: 0.016327288311162817	mean: 647.6
cov: 0.015920202322147976	mean: 668.6
cov: 0.018065914773018783	mean: 691.8
cov: 0.019520584683081554	mean: 649.0
cov: 0.011725496482930415	mean: 6321.8
cov: 0.011574091736314598	mean: 6321.2
cov: 0.0030587662932236082	mean: 6324.2
cov: 0.013291189708266208	mean: 6375.4
Roles: 10	Permissions: 250
cov: 0.007787219917892148	mean: 10121.8
cov: 0.00977876949698084	mean: 10047.4
cov: 0.007094541302969629	mean: 10098.8
cov: 0.005992555960980547	mean: 10018.4
cov: 0.01928907044466059	mean: 711.4
cov: 0.0085556030841752	mean: 731.8
cov: 0.014299041269569504	mean: 687.0
cov: 0.018064083648843494	mean: 678.0
cov: 0.008538469758038897	mean: 4823.6
cov: 0.009501170063365713	mean: 4874.8
cov: 0.01250840453148195	mean: 4879.8
cov: 0.016836187531858417	mean: 4790.6
Roles: 50	Permissions: 250
cov: 0.008263886733204757	mean: 10067.0
cov: 0.017295279731803066	mean: 10208.2
cov: 0.009826495479841851	mean: 10028.8
cov: 0.007373424799137792	mean: 10098.8
cov: 0.015941959792188497	mean: 671.8
cov: 0.018080472340528973	mean: 666.0
cov: 0.01892743819658862	mean: 662.0
cov: 0.018733485375187275	mean: 656.6
cov: 0.016581409239728187	mean: 4821.4
cov: 0.0096696773169544	mean: 4747.8
cov: 0.01142289901356897	mean: 4728.4
cov: 0.006154399806617339	mean: 4868.6
Roles: 100	Permissions: 250
cov: 0.01055473137888102	mean: 10031.8
cov: 0.008802681362758368	mean: 10003.6
cov: 0.009329331108209741	mean: 10088.0
cov: 0.0015299098037665471	mean: 10140.8
cov: 0.01846372364689991	mean: 660.0
cov: 0.019717573672461783	mean: 630.8
cov: 0.01737484416811441	mean: 705.6
cov: 0.017892825930487737	mean: 707.6
cov: 0.017224919782024502	mean: 4748.6
cov: 0.005043065871543107	mean: 4714.6
cov: 0.008904220718720112	mean: 4717.8
cov: 0.003794377070636401	mean: 4731.4
Roles: 500	Permissions: 250
cov: 0.017417975580587948	mean: 9494.0
cov: 0.011354718945651033	mean: 9564.2
cov: 0.013887957342826562	mean: 9467.8
cov: 0.009866427198492966	mean: 9416.2
cov: 0.008559250994380813	mean: 657.8
cov: 0.01833121008475694	mean: 689.6
cov: 0.019612829424411535	mean: 614.6
cov: 0.01689386594449275	mean: 671.0
cov: 0.017647418667180947	mean: 4622.6
cov: 0.014728981697895178	mean: 4631.8
cov: 0.014807123335360255	mean: 4628.0
cov: 0.010252098600365795	mean: 4601.0
Roles: 700	Permissions: 250
cov: 0.0034440055671816397	mean: 8819.0
cov: 0.006154591118149486	mean: 8836.6
cov: 0.013971028091732092	mean: 8816.0
cov: 0.0074944622963418715	mean: 8774.4
cov: 0.01269128656567091	mean: 674.6
cov: 0.005241296167593998	mean: 682.6
cov: 0.019635397082749605	mean: 702.0
cov: 0.01587997397702644	mean: 627.2
cov: 0.007399207093872711	mean: 4606.6
cov: 0.018051931020787844	mean: 4644.0
cov: 0.009204141632363565	mean: 4578.4
cov: 0.013235039392559182	mean: 4677.4
Roles: 2000	Permissions: 250
cov: 0.01512965686218246	mean: 10054.6
cov: 0.014398062757394128	mean: 9888.4
cov: 0.012542738366015464	mean: 9861.8
cov: 0.012013037351297846	mean: 9893.2
cov: 0.01711423502533192	mean: 603.0
cov: 0.015882922324252816	mean: 611.4
cov: 0.011544365992634456	mean: 661.4
cov: 0.019258782019443168	mean: 637.0
cov: 0.018558403101081727	mean: 4716.4
cov: 0.01811814801862432	mean: 4758.0
cov: 0.01352087034677907	mean: 4661.4
cov: 0.011741565520734559	mean: 4641.2
Roles: 100	Permissions: 10
cov: 0.005963287105597677	mean: 17058.4
cov: 0.007247540234565011	mean: 16886.2
cov: 0.013702609537239075	mean: 17005.0
cov: 0.011028414841433644	mean: 16790.6
cov: 0.015047648077342688	mean: 609.8
cov: 0.016944878759913823	mean: 622.6
cov: 0.027011384898357346	mean: 735.6
cov: 0.014619812205812049	mean: 606.8
cov: 0.012604464102982164	mean: 6072.0
cov: 0.01810274785474575	mean: 6016.8
cov: 0.008592402873115053	mean: 6012.0
cov: 0.015285014667761146	mean: 5959.4
Roles: 100	Permissions: 50
cov: 0.017918190549665064	mean: 6171.6
cov: 0.013287295626339169	mean: 6093.4
cov: 0.018613759186131496	mean: 6157.8
cov: 0.014912742289172021	mean: 6157.0
cov: 0.01842197843130593	mean: 714.6
cov: 0.01717965423108084	mean: 655.2
cov: 0.05432953580610256	mean: 726.8
cov: 0.014617583655866658	mean: 688.2
cov: 0.00914837685935281	mean: 5895.8
cov: 0.018214361402701135	mean: 5409.2
cov: 0.01661700452386148	mean: 5889.8
cov: 0.0057814819958160535	mean: 5904.2
Roles: 100	Permissions: 100
cov: 0.011074112209964442	mean: 7529.8
cov: 0.0075277876927982695	mean: 7517.8
cov: 0.005445559937050781	mean: 7545.4
cov: 0.005618893123396838	mean: 7672.8
cov: 0.019321477531288635	mean: 676.4
cov: 0.37726976186084615	mean: 857.8
cov: 0.03241279223748872	mean: 696.6
cov: 0.016857732398668415	mean: 611.6
cov: 0.01872661050038818	mean: 5391.2
cov: 0.012648116482660073	mean: 4802.2
cov: 0.01779309061211089	mean: 5415.6
cov: 0.011138914071357715	mean: 4709.4
Roles: 100	Permissions: 500
cov: 0.004580513130775677	mean: 14840.2
cov: 0.008327925909864808	mean: 14942.2
cov: 0.01027865733068541	mean: 14843.6
cov: 0.009777445491709658	mean: 14767.6
cov: 0.03688831510687308	mean: 643.4
cov: 0.017467197556906913	mean: 617.4
cov: 0.010801476226924851	mean: 656.6
cov: 0.014849391512140143	mean: 625.6
cov: 0.005049548787704622	mean: 4626.2
cov: 0.013216054299415086	mean: 4570.6
cov: 0.014557247019822958	mean: 4637.4
cov: 0.0128359841592579	mean: 4601.6
Roles: 100	Permissions: 700
cov: 0.009374849696361763	mean: 16778.6
cov: 0.009594190633728331	mean: 16643.6
cov: 0.006148597463159721	mean: 16629.6
cov: 0.006893222523689864	mean: 16603.2
cov: 0.01895785387292799	mean: 637.8
cov: 0.017288433326839135	mean: 663.8
cov: 0.019916405093103728	mean: 643.0
cov: 0.012343752213056685	mean: 664.6
cov: 0.011895954591068358	mean: 4687.4
cov: 0.009530686936050276	mean: 4647.8
cov: 0.01874567184650415	mean: 4655.0
cov: 0.009336312629950844	mean: 4703.4
Roles: 100	Permissions: 2000
cov: 0.019022310893822662	mean: 29437.2
cov: 0.006898407300808868	mean: 29374.8
cov: 0.008238246115398975	mean: 29398.8
cov: 0.004626475220189514	mean: 29581.0
cov: 0.008929482227940736	mean: 653.0
cov: 0.0068387720798065215	mean: 657.2
cov: 0.01922813812412695	mean: 665.0
cov: 0.01753068262648956	mean: 668.4
cov: 0.0077039084065700335	mean: 5406.0
cov: 0.019892000481930974	mean: 5246.4
cov: 0.01646145434604424	mean: 5413.8
cov: 0.013572188413706577	mean: 5252.0

